,LEI,Entity.LegalName,Entity.LegalAddress.FirstAddressLine,Entity.LegalAddress.AddressNumber,Entity.LegalAddress.AddressNumberWithinBuilding,Entity.LegalAddress.AdditionalAddressLine.1,Entity.LegalAddress.AdditionalAddressLine.2,Entity.LegalAddress.AdditionalAddressLine.3,Entity.LegalAddress.City,Entity.LegalAddress.Region,Entity.LegalAddress.Country,Entity.LegalAddress.PostalCode,Entity.RegistrationAuthority.RegistrationAuthorityID,Entity.RegistrationAuthority.OtherRegistrationAuthorityID,Entity.RegistrationAuthority.RegistrationAuthorityEntityID,Entity.LegalForm.EntityLegalFormCode,Entity.EntityStatus,Registration.InitialRegistrationDate,Registration.RegistrationStatus
1269552,549300EJEDC5PY66UA23,THE MORIS UNIT TRUST,18 RUE DE CONTAMINES,,,,,,GENEVA,CH-GE,CH,1211,RA999999,,,8888,ACTIVE,2014-03-04T02:10:00Z,LAPSED
120373,213800H47731KLQ76A39,HUGHES INSURANCE SERVICES LIMITED,20 FENCHURCH STREET,,,,,,LONDON,GB-LND,GB,EC3M 3AW,RA000585,,04451375,H0PO,ACTIVE,2015-10-28T00:00:00Z,ISSUED
156789,213800MG4HRNH1MUXT50,KYOEI FIRE & MARINE INSURANCE CO. (U.K.) LIMITED,"4TH FLOOR, 8 FENCHURCH PLACE",,,,,,LONDON,GB-LND,GB,EC3M 4AJ,RA000585,,01235521,H0PO,ACTIVE,2015-05-07T00:00:00Z,ISSUED
175702,213800P8H5LP66XT5H36,RELIGIOUS OF THE ASSUMPTION,20 KENSINGTON SQUARE,,,,,,LONDON,GB-LND,GB,W8 5HH,RA000589,,1208734,7T8N,ACTIVE,2025-01-28T00:00:00Z,ISSUED
1552964,549300WR1JGT5SWKNK64,ACS LifePath 2034-2036,12 THROGMORTON AVENUE,,,,,,LONDON,GB-LND,GB,EC2N 2DL,RA000592,,805823,8888,ACTIVE,2018-02-26T22:30:00+01:00,ISSUED
2581112,9695009GA3R80EK3U730,GEKKO,2 RUE PAUL DUPUY,,,,,,PARIS,,FR,75016,RA000189,,443041249,V9QP,ACTIVE,2018-04-18T22:09:39.250+02:00,LAPSED
23247,2138002W1FFUU1BR7W27,SARSONS (GH) LIMITED,1 Maltings Place,,,169 Tower Bridge Road,,,London,GB-LND,GB,SE1 3BJ,RA000585,,11889827,H0PO,ACTIVE,2020-06-03T00:00:00+00:00,ISSUED
162248,213800N9Q8ODBETAP861,SPOT PROPERTY COMPANY LIMITED,JULCO HOUSE 3RD FLOOR,,,26-28 GREAT PORTLAND STREET,,,LONDON,GB-LND,GB,W1W 8QT,RA000585,,02811477,H0PO,ACTIVE,2018-05-02T00:00:00Z,ISSUED
2667683,969500WCPRMB34TGQE73,PIERRE PLASSE,18 RUE BALLU,,,,,,PARIS,,FR,75009,RA000189,,408633147,6CHY,ACTIVE,2018-12-14T21:45:32.338+01:00,ISSUED
40338,2138005DUW411BCF1W88,ARTESIAN FINANCE PLC,"4TH FLOOR, 140 ALDERSGATE STREET",,,,,,LONDON,GB-LND,GB,EC1A 4HY,RA000585,,04369065,B6ES,ACTIVE,2014-02-14T00:00:00Z,ISSUED
1584524,549300YSQMG7F2GFVZ64,MITSUI & CO. FINANCIAL SERVICES (EUROPE) PLC,8TH AND 9TH FLOORS,,,1 ST. MARTIN'S LE GRAND,,,LONDON,GB-LND,GB,EC1A 4AS,RA000585,,08008529,B6ES,ACTIVE,2014-01-17T15:23:00Z,ISSUED
1305492,549300GUFQRJGXI0LQ51,FIREFRONT ENGINEERING LLP,SUITE 6,,,5 PERCY STREET FITZROVIA,,,LONDON,GB-EAL,GB,W1T 1DG,RA000585,,OC375240,Z0EY,ACTIVE,2017-11-16T16:29:00Z,LAPSED
2607822,969500GHNW1E923BC595,CENTRALE PHOTOVOLTAIQUE DU GABARDAN 5,18 RUE TREILHARD,,,18-20,,,PARIS,,FR,75008,RA000189,,511217895,6CHY,ACTIVE,2014-03-04T00:00:00.000+01:00,LAPSED
